Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1_0,nu2_0,nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
SC_sym_i	Round_2_Replicate_8	-5482.05	10978.1	10549.01	1736.11	0.0533,0.7926,3.1421,1.5439,0.0688,10.0739,0.3324
SC_sym_i	Round_2_Replicate_9	-3874.56	7763.12	3128.25	6161.49	0.0579,0.1216,19.5119,5.1918,0.7476,4.4246,0.6679
SC_sym_i	Round_2_Replicate_10	-4990.35	9994.7	7050.18	7279.95	0.0382,0.107,0.5572,5.7584,0.0456,1.3931,0.99
SC_sym_i	Round_2_Replicate_11	-4728.55	9471.1	8610.77	3069.35	0.2437,0.1418,15.071,9.0564,1.3015,6.7884,0.9896
SC_sym_i	Round_2_Replicate_12	-5651.62	11317.24	835535110052.65	1199.57	0.427,0.5564,11.8107,14.7116,0.3057,10.4014,0.1719
SC_sym_i	Round_2_Replicate_13	-4677.35	9368.7	7075.57	1024.58	0.0931,1.6818,1.2892,3.7565,1.0644,17.2476,0.6129
SC_sym_i	Round_2_Replicate_14	-3963.53	7941.06	3946.76	4292.59	0.0316,0.3448,19.7001,3.33,0.1251,19.5975,0.3455
SC_sym_i	Round_2_Replicate_15	-3564.65	7143.3	2525.42	4696.56	0.0748,0.1687,1.5405,7.4579,1.4526,18.4922,0.99
SC_sym_i	Round_2_Replicate_16	-4232.22	8478.44	4269.53	5088.51	0.0285,0.2489,18.5729,1.8758,3.499,8.6738,0.2881
SC_sym_i	Round_2_Replicate_17	-9887.17	19788.34	22203.24	2149.03	0.3342,0.0997,0.604,17.3956,0.1403,14.1533,0.1591
SC_sym_i	Round_2_Replicate_18	-4024.87	8063.74	10664.88	1799.43	0.079,1.6326,0.8632,13.9587,0.196,16.9396,0.989
SC_sym_i	Round_2_Replicate_19	-5488.42	10990.84	7162.68	3741.62	0.2144,0.0989,0.9149,6.4575,0.3274,3.3115,0.9894
SC_sym_i	Round_2_Replicate_20	-8922.29	17858.58	28558.87	6488.65	0.0325,0.0862,1.2423,7.4279,2.5948,14.0365,0.2327
SC_sym_i	Round_3_Replicate_1	-3056.24	6126.48	20261.96	2177.54	0.1231,0.5001,9.0823,6.6687,0.1152,7.3402,0.9574
SC_sym_i	Round_3_Replicate_2	-4526.79	9067.58	5247.63	1757.62	0.0702,0.7952,1.1091,18.5729,0.594,10.0082,0.4483
SC_sym_i	Round_3_Replicate_3	-3256.52	6527.04	1662.94	2442.4	0.1237,0.374,2.2334,13.064,0.2104,16.7556,0.5205
SC_sym_i	Round_3_Replicate_4	-3127.54	6269.08	1532.76	5805.29	0.0588,0.1555,1.1197,19.9142,0.6707,5.8541,0.9895
SC_sym_i	Round_3_Replicate_5	-3381.08	6776.16	2078.05	1292.48	0.1637,1.0213,0.7677,17.0829,0.8991,7.4323,0.65
SC_sym_i	Round_3_Replicate_6	-4309.1	8632.2	4440.12	8042.86	0.0462,0.0879,6.2663,10.7784,0.2184,19.5756,0.4854
SC_sym_i	Round_3_Replicate_7	-3445.05	6904.1	2579.91	2322.95	0.0701,0.694,1.6876,18.5729,1.0661,6.997,0.7173
SC_sym_i	Round_3_Replicate_8	-5085.16	10184.32	5710.26	3963.01	0.1409,0.1226,2.1699,12.8761,0.1098,6.6716,0.3643
SC_sym_i	Round_3_Replicate_9	-3240.7	6495.4	1954.95	3019.87	0.0702,0.3991,1.2825,7.6602,0.4861,16.7431,0.99
SC_sym_i	Round_3_Replicate_10	-3188.03	6390.06	3312.01	2178.66	0.0935,0.7186,3.0341,12.8461,0.6853,5.2171,0.8909
SC_sym_i	Round_3_Replicate_11	-3533.27	7080.54	2399.77	4792.7	0.0986,0.1399,4.8759,13.1684,0.1248,6.9388,0.9895
SC_sym_i	Round_3_Replicate_12	-3172.37	6358.74	3772.86	2711.69	0.1294,0.3159,11.3741,7.0077,0.1871,8.4339,0.9897
SC_sym_i	Round_3_Replicate_13	-3230.8	6475.6	1647.15	3338.39	0.1049,0.2632,1.7993,19.9142,0.2361,16.1071,0.8248
SC_sym_i	Round_3_Replicate_14	-3052.96	6119.92	4944.63	1291.24	0.1976,0.9252,2.6325,5.8017,0.4853,7.2094,0.8289
SC_sym_i	Round_3_Replicate_15	-6442.11	12898.22	10327.12	4714.37	0.0821,0.1091,0.7871,5.0272,1.0606,16.7431,0.6401
SC_sym_i	Round_3_Replicate_16	-3463.94	6941.88	2308.28	3312.86	0.1049,0.2444,5.4946,5.7241,0.0942,19.6412,0.4722
SC_sym_i	Round_3_Replicate_17	-5480.13	10974.26	145297.07	1634.6	0.2915,0.4427,3.9372,19.1183,0.1812,19.6423,0.99
SC_sym_i	Round_3_Replicate_18	-3358.51	6731.02	2038.58	2156.8	0.1529,0.3939,1.0145,4.0124,0.1068,15.4867,0.9898
SC_sym_i	Round_3_Replicate_19	-3268.99	6551.98	1729.53	2813.82	0.0973,0.3458,2.4243,11.8694,1.108,9.2915,0.5875
SC_sym_i	Round_3_Replicate_20	-3258.2	6530.4	1623.94	1414.32	0.2053,0.6721,1.1042,10.4171,1.1379,6.4097,0.5473
SC_sym_i	Round_4_Replicate_1	-3175.88	6365.76	237836.12	1504.29	0.1367,0.9459,4.9713,5.8801,0.5176,4.5464,0.9893
SC_sym_i	Round_4_Replicate_2	-3032.65	6079.3	2749.81	913.63	0.2812,1.2765,1.686,3.9006,0.7264,8.7906,0.8172
SC_sym_i	Round_4_Replicate_3	-3015.91	6045.82	1570.86	1527.16	0.182,0.6958,2.7471,8.487,0.6803,7.4412,0.5394
SC_sym_i	Round_4_Replicate_4	-3199.4	6412.8	1952.07	1194.2	0.2699,0.8453,1.4202,6.9331,0.7702,4.6372,0.9036
SC_sym_i	Round_4_Replicate_5	-3732.72	7479.44	32408820.58	934.98	0.3207,1.2376,3.4641,6.1834,0.5435,4.4379,0.9901
SC_sym_i	Round_4_Replicate_6	-3100.83	6215.66	13437.3	1005.76	0.3171,0.9334,2.9484,2.9537,0.601,3.6764,0.9899
SC_sym_i	Round_4_Replicate_7	-3083.79	6181.58	26961.12	1975.5	0.1189,0.6166,4.2852,6.4905,0.2913,5.4208,0.9894
SC_sym_i	Round_4_Replicate_8	-3061.75	6137.5	25353.8	2036.14	0.1414,0.5082,5.1172,6.4556,0.8461,5.5251,0.9897
SC_sym_i	Round_4_Replicate_9	-3229.65	6473.3	3044.64	1159.71	0.3247,0.7175,1.7044,3.7948,0.3231,11.6456,0.9892
SC_sym_i	Round_4_Replicate_10	-3167.24	6348.48	2307.16	1538.49	0.184,0.6377,3.1266,3.5078,0.3183,12.635,0.9904
SC_sym_i	Round_4_Replicate_11	-3507.41	7028.82	8467472.42	979.87	0.2184,1.6695,3.2124,6.0271,0.3634,10.0014,0.9901
SC_sym_i	Round_4_Replicate_12	-3780.7	7575.4	72565446.03	892.1	0.2831,1.621,3.4704,6.4514,0.5872,11.9999,0.9901
SC_sym_i	Round_4_Replicate_13	-3005.91	6025.82	1462.67	1276.32	0.2077,0.8835,2.0271,7.9108,0.3055,7.9066,0.6228
SC_sym_i	Round_4_Replicate_14	-3281.47	6576.94	1877.66	1764.2	0.1732,0.5128,1.3622,3.5616,0.7009,7.032,0.97
SC_sym_i	Round_4_Replicate_15	-3107.34	6228.68	1434.83	1648.98	0.1673,0.6145,2.1343,8.5914,0.6791,8.3589,0.5134
SC_sym_i	Round_4_Replicate_16	-3050.86	6115.72	1647.98	1523.85	0.2065,0.6294,2.8817,7.8338,0.6532,6.8476,0.5298
SC_sym_i	Round_4_Replicate_17	-3335.31	6684.62	2081.59	1248.19	0.3338,0.6105,1.8888,4.5396,0.6801,13.0739,0.9019
SC_sym_i	Round_4_Replicate_18	-3059.07	6132.14	6016.08	1360.78	0.2149,0.7485,2.8163,4.3756,0.5194,6.5834,0.9275
SC_sym_i	Round_4_Replicate_19	-3057.22	6128.44	1442.23	1458.4	0.2029,0.6763,2.1163,4.9506,0.8289,4.9711,0.7871
