Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
1	Round_1_Replicate_6	-9836.53	19689.06	25793.28	598.19	2.1315,0.2416,0.1733,1.1302,0.4026,2.0022,1.3703,0.0711
1	Round_1_Replicate_5	-13051.35	26118.7	50688.76	595.03	0.1418,0.5012,0.7044,4.8982,7.4096,0.091,5.7255,0.3347
1	Round_1_Replicate_4	-23623.36	47262.72	273436.71	669.42	7.691,0.1362,2.424,0.2609,9.0884,16.354,10.0831,0.7736
1	Round_1_Replicate_4	-13803.44	27622.88	52371.44	1612.29	3.3967,0.1012,6.8907,0.1422,0.134,9.1181,0.6993,0.126
1	Round_1_Replicate_5	-5715.15	11446.3	14010.57	2022.09	0.2023,0.3785,10.3066,3.2764,0.3191,15.6763,9.5268,0.3368
1	Round_1_Replicate_5	-13349.05	26714.1	229684.18	2587.93	1.8723,0.0908,12.7381,0.8268,1.1612,1.8145,0.7867,0.4014
1	Round_1_Replicate_4	-30609.03	61234.06	1616958.33	694.13	7.2564,0.3589,0.9168,0.0791,0.0774,0.1326,2.7344,0.9898
1	Round_1_Replicate_5	-19000.02	38016.04	155343.72	957.19	1.3414,0.0892,0.4312,0.1143,0.5074,0.5509,1.692,0.2284
1	Round_1_Replicate_6	-32964.53	65945.06	2428581.81	205.99	13.8665,0.1131,0.1725,11.8605,1.6562,1.0702,2.782,0.9898
1	Round_1_Replicate_7	-27523.55	55063.1	3.0595371282413553e+18	469.6	0.7736,4.2227,10.2794,10.6205,0.2304,1.7121,9.5881,0.9898
