
Round_1_Replicate_1
72      , -10917      , array([ 9.55625    ,  1.27095    ,  3.32398    ,  12.5727    ,  0.19107    ,  14.1701    ,  0.970314   ,  0.00222721 ])
73      , -10917.1    , array([ 9.55725    ,  1.27095    ,  3.32398    ,  12.5727    ,  0.19107    ,  14.1701    ,  0.970314   ,  0.00222721 ])
74      , -10918.9    , array([ 9.55625    ,  1.27195    ,  3.32398    ,  12.5727    ,  0.19107    ,  14.1701    ,  0.970314   ,  0.00222721 ])
75      , -10917.5    , array([ 9.55625    ,  1.27095    ,  3.32498    ,  12.5727    ,  0.19107    ,  14.1701    ,  0.970314   ,  0.00222721 ])
76      , -10917.1    , array([ 9.55625    ,  1.27095    ,  3.32398    ,  12.5737    ,  0.19107    ,  14.1701    ,  0.970314   ,  0.00222721 ])
77      , -10917      , array([ 9.55625    ,  1.27095    ,  3.32398    ,  12.5727    ,  0.19207    ,  14.1701    ,  0.970314   ,  0.00222721 ])
78      , -10917      , array([ 9.55625    ,  1.27095    ,  3.32398    ,  12.5727    ,  0.19107    ,  14.1711    ,  0.970314   ,  0.00222721 ])
79      , -10933.5    , array([ 9.55625    ,  1.27095    ,  3.32398    ,  12.5727    ,  0.19107    ,  14.1701    ,  0.971314   ,  0.00222721 ])
80      , -10921.5    , array([ 9.55625    ,  1.27095    ,  3.32398    ,  12.5727    ,  0.19107    ,  14.1701    ,  0.970314   ,  0.00322721 ])
91      , -10917      , array([ 9.55624    ,  1.27093    ,  3.32398    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222684 ])
92      , -10917      , array([ 9.55624    ,  1.27093    ,  3.32398    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222684 ])
93      , -10917      , array([ 9.55724    ,  1.27093    ,  3.32398    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222684 ])
94      , -10918.9    , array([ 9.55624    ,  1.27193    ,  3.32398    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222684 ])
95      , -10917.5    , array([ 9.55624    ,  1.27093    ,  3.32498    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222684 ])
96      , -10917.1    , array([ 9.55624    ,  1.27093    ,  3.32398    ,  12.5737    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222684 ])
97      , -10917      , array([ 9.55624    ,  1.27093    ,  3.32398    ,  12.5727    ,  0.192069   ,  14.1701    ,  0.970314   ,  0.00222684 ])
98      , -10917      , array([ 9.55624    ,  1.27093    ,  3.32398    ,  12.5727    ,  0.191069   ,  14.1711    ,  0.970314   ,  0.00222684 ])
99      , -10933.4    , array([ 9.55624    ,  1.27093    ,  3.32398    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.971314   ,  0.00222684 ])
100     , -10921.4    , array([ 9.55624    ,  1.27093    ,  3.32398    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00322684 ])
101     , -10916.9    , array([ 9.55624    ,  1.27091    ,  3.32397    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222647 ])
102     , -10916.9    , array([ 9.55624    ,  1.27091    ,  3.32397    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222647 ])
103     , -10917      , array([ 9.55724    ,  1.27091    ,  3.32397    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222647 ])
104     , -10918.9    , array([ 9.55624    ,  1.27191    ,  3.32397    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222647 ])
105     , -10917.4    , array([ 9.55624    ,  1.27091    ,  3.32497    ,  12.5727    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222647 ])
106     , -10917      , array([ 9.55624    ,  1.27091    ,  3.32397    ,  12.5737    ,  0.191069   ,  14.1701    ,  0.970314   ,  0.00222647 ])
107     , -10916.9    , array([ 9.55624    ,  1.27091    ,  3.32397    ,  12.5727    ,  0.192069   ,  14.1701    ,  0.970314   ,  0.00222647 ])
