Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
1	Round_2_Replicate_4	-6059.74	12127.48	8187498349.95	1217.18	0.6573,0.3097,0.0196,0.0109
1	Round_1_Replicate_8	-28683.64	57375.28	1068000.91	806.25	2.1332,0.3881,0.3049,0.9897
1	Round_2_Replicate_1	-22709.54	45427.08	254655.2	596.07	1.7218,2.8372,0.2445,0.9883
1	Round_2_Replicate_3	-4774.02	9556.04	38171.6	1384.55	0.2176,0.2407,0.0226,0.0396
1	Round_1_Replicate_15	-43514.83	87037.66	194425087.57	213.23	1.0369,5.6997,5.9402,0.9899
1	Round_2_Replicate_5	-13264.74	26537.48	241886.5	2358.63	0.0796,0.1627,0.1444,0.1869
1	Round_2_Replicate_4	-7690.18	15388.36	13799.15	1335.78	0.0839,0.5231,0.0215,0.5541
1	Round_2_Replicate_2	-13692.58	27393.16	143345.47	501.38	7.0273,0.4192,0.4927,0.0708
1	Round_2_Replicate_1	-4832.37	9672.74	10957.03	702.88	0.3964,10.686,0.1156,0.0543
1	Round_2_Replicate_6	-8788.97	17585.94	5.654161881171094e+18	963.51	1.6343,2.18,0.0332,0.0275
1	Round_2_Replicate_5	-12842.86	25693.72	139471.86	1291.77	0.7357,0.1772,0.2639,0.0152
1	Round_2_Replicate_3	-7712.52	15433.04	17739.2	1294.07	0.7147,0.1751,0.0676,0.0424
1	Round_2_Replicate_2	-4433.05	8874.1	14234.08	736.84	0.7674,3.0049,0.1511,0.076
1	Round_2_Replicate_7	-4567.88	9143.76	129017935.4	1053.17	0.2235,4.6275,0.0273,0.0695
1	Round_2_Replicate_6	-4877.86	9763.72	8319.03	1519.06	0.0841,0.2988,0.0322,0.0291
1	Round_2_Replicate_4	-10149.25	20306.5	25435.99	937.87	0.3561,2.2611,0.0797,0.7367
1	Round_2_Replicate_3	-14396.62	28801.24	1398111.05	220.14	0.6696,13.5822,1.5709,0.071
1	Round_1_Replicate_10	-86122.73	172253.46	-1.3220381165336557e+32	263.59	0.2017,1.8837,15.451,0.99
1	Round_2_Replicate_8	-5398.89	10805.78	1689670.88	1176.01	0.8355,0.3489,0.0369,0.0146
1	Round_2_Replicate_7	-5007.93	10023.86	432632.79	1422.3	0.1032,0.1832,0.0111,0.1075
1	Round_2_Replicate_5	-26187.62	52383.24	802355.73	933.55	3.4966,0.3875,0.0824,0.9889
1	Round_2_Replicate_4	-20316.25	40640.5	15057385.97	299.66	0.6449,4.9745,2.7981,0.0145
1	Round_1_Replicate_9	-101322.26	202652.52	-1.6809331885827614e+40	434.71	0.1141,0.2671,12.4187,0.9897
1	Round_2_Replicate_9	-8106.74	16221.48	31160.06	1556.01	0.3151,0.2149,0.1216,0.0112
