Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
1	Round_1_Replicate_7	-18670.66	37359.32	179352.57	411.76	4.0173,1.5381,3.4128,6.6796,1.6665,0.5255,0.1104,0.0701,0.9055
1	Round_1_Replicate_7	-23847.54	47713.08	444903.11	1336.48	0.0955,0.7729,0.417,0.0815,0.1566,2.3578,4.9894,0.1731,0.9898
1	Round_1_Replicate_8	-25350.62	50719.24	475493.25	395.07	0.5749,2.4545,4.9771,13.6636,0.4216,0.1698,0.1244,0.9898,0.9898
1	Round_1_Replicate_9	-3847.85	7713.7	2592.66	2650.92	0.0969,0.3401,2.6545,12.5047,2.0704,0.0617,1.1255,0.0608,0.1021
1	Round_1_Replicate_9	-17036.64	34091.28	69868.9	339.9	1.201,6.6894,1.0478,1.0247,1.3903,0.2413,0.1027,0.0962,0.9374
1	Round_1_Replicate_9	-9877.43	19772.86	21485.02	935.65	1.9974,0.2734,1.833,11.6651,2.8233,2.5256,0.3516,0.9898,0.1064
1	Round_1_Replicate_8	-7331.36	14680.72	15367.91	1973.05	0.2913,0.1949,0.4696,8.4181,0.1533,0.1238,3.6957,0.9898,0.1772
1	Round_1_Replicate_10	-40783.28	81584.56	6661335.01	435.84	11.5344,0.1398,0.616,4.9702,8.3503,0.0786,0.1068,0.9755,0.9898
1	Round_1_Replicate_7	-4748.82	9515.64	5545.89	3136.1	0.1075,0.2982,11.7328,2.4275,5.9453,1.1666,2.8175,0.201,0.1453
1	Round_1_Replicate_7	-8539.49	17096.98	32777.56	211.7	10.7327,0.1607,9.6706,0.1921,13.3534,7.1827,0.4871,0.2911,0.09
1	Round_1_Replicate_8	-5819.77	11657.54	8231.74	635.41	1.5782,0.4604,5.8093,0.2924,0.1242,0.1764,4.5763,0.8511,0.1091
1	Round_1_Replicate_5	-22276.48	44570.96	2183337.91	288.98	0.3868,4.7749,8.2324,16.583,9.0314,8.9497,0.3808,0.7715,0.9898
1	Round_1_Replicate_10	-11469.21	22956.42	33232.47	2873.47	0.1681,0.0992,0.206,0.9193,0.1951,10.179,0.7778,0.9898,0.5056
1	Round_1_Replicate_10	-25714.25	51446.5	635875.49	259.65	4.2201,2.7797,12.0731,0.121,0.1446,2.2193,0.1604,0.9898,0.9898
1	Round_1_Replicate_10	-8748.93	17515.86	777525554358962.9	278.47	4.5402,4.5324,1.4507,2.9306,0.6369,0.0617,15.1787,0.1476,0.2543
1	Round_1_Replicate_9	-27962.09	55942.18	845835.65	1360.65	0.6587,0.3103,1.4561,2.2395,0.166,2.1522,0.9376,0.1068,0.9898
1	Round_1_Replicate_11	-32286.59	64591.18	1585337.42	3050.67	0.1757,0.0844,0.7651,0.0627,0.1008,1.4928,0.195,0.9898,0.9898
1	Round_1_Replicate_8	-25249.38	50516.76	467371.74	1032.81	0.5399,0.5967,0.9019,0.1937,5.4693,0.7202,0.082,0.9898,0.9898
1	Round_1_Replicate_9	-25348.13	50714.26	585436.98	458.04	2.2356,1.7878,9.1821,0.2031,0.3526,7.0772,0.4817,0.9898,0.9898
1	Round_1_Replicate_8	-22352.54	44723.08	304738.78	268.85	1.1277,4.0824,8.4257,0.6598,3.8537,2.5258,0.0704,0.99,0.99
1	Round_1_Replicate_6	-7389.35	14796.7	37564.0	1185.84	0.1687,0.866,0.2086,0.0638,0.0629,0.2525,0.0737,0.3679,0.088
1	Round_1_Replicate_9	-6270.97	12559.94	1122460886753408.4	176.3	3.9896,5.8701,7.029,7.3222,2.1041,0.9007,2.3236,0.9867,0.0891
1	Round_1_Replicate_11	-21753.75	43525.5	18672482185.07	392.14	13.1124,2.7971,0.3823,0.233,0.3179,1.5081,0.2312,0.99,0.9433
1	Round_1_Replicate_11	-21106.51	42231.02	233503.14	6207.08	0.1001,0.1001,0.6509,0.6518,13.4985,0.6128,11.9711,0.9898,0.9898
1	Round_1_Replicate_12	-30714.08	61446.16	6.546837115083172e+20	444.44	11.3296,3.6349,0.225,0.2397,5.4396,0.4391,10.4338,0.3371,0.9898
1	Round_1_Replicate_10	-28295.8	56609.6	1082413.08	951.6	4.519,0.0908,0.3673,6.0141,1.2238,0.0742,6.718,0.1662,0.966
1	Round_1_Replicate_9	-7668.41	15354.82	1929148.39	723.52	5.7664,0.6628,0.1699,2.3253,0.1903,0.5338,8.6943,0.0811,0.2046
1	Round_1_Replicate_10	-29573.54	59165.08	1012550.84	1084.32	0.699,0.3326,1.4494,0.2549,0.5665,0.57,0.1638,0.9898,0.9898
1	Round_1_Replicate_7	-6902.49	13822.98	29151104.23	256.77	7.4505,1.0768,2.594,0.4265,14.3919,1.0711,2.3297,0.6985,0.1673
1	Round_1_Replicate_12	-4937.99	9893.98	4915.39	1389.24	0.1992,0.6944,1.8094,0.0696,0.3224,11.9209,0.8513,0.99,0.2583
1	Round_1_Replicate_13	-27416.04	54850.08	672922.11	314.13	6.2183,1.7821,1.1015,0.3278,0.0671,0.3038,3.2482,0.9898,0.9898
1	Round_1_Replicate_11	-12664.34	25346.68	164781.48	379.0	1.7933,11.3084,12.2344,0.0992,0.4696,1.3549,11.0624,0.9898,0.6939
1	Round_1_Replicate_10	-4602.13	9222.26	7364.92	853.59	0.5573,1.1745,2.1374,0.492,5.4662,0.114,2.0996,0.9898,0.0671
1	Round_1_Replicate_9	-14966.48	29950.96	64140.21	200.52	8.5309,0.6667,14.7473,7.4102,0.1357,0.3185,0.1471,0.9898,0.4554
1	Round_1_Replicate_11	-16407.24	32832.48	107159.68	175.11	11.4742,0.2052,6.2777,0.14,1.9005,0.0609,0.7032,0.9898,0.2578
1	Round_1_Replicate_10	-4780.04	9578.08	4450.34	3550.1	0.0697,0.2721,9.2734,3.1459,0.6615,11.8845,0.694,0.9898,0.2208
1	Round_1_Replicate_8	-5910.42	11838.84	77784.75	484.99	2.8241,2.3741,0.4452,2.6207,5.8656,0.0849,0.5067,0.0921,0.0664
1	Round_1_Replicate_11	-34211.52	68441.04	2897673.21	794.27	1.6337,0.1507,3.8903,3.338,1.1774,0.7437,0.4311,0.9898,0.9898
1	Round_1_Replicate_13	-24412.23	48842.46	273740.58	255.79	0.9645,11.6386,1.2117,1.1171,0.434,0.3733,0.2583,0.081,0.9898
1	Round_1_Replicate_12	-8235.07	16488.14	15265.81	3919.73	0.0937,0.1538,11.2808,8.6515,0.7262,0.3026,0.8471,0.3414,0.3108
1	Round_1_Replicate_14	-29173.7	58365.4	1.0854816290934296e+17	580.88	6.0235,1.3697,0.2664,1.8415,9.0047,7.7164,0.0938,0.53,0.9898
1	Round_1_Replicate_12	-20735.07	41488.14	237914.11	468.5	0.1666,5.358,1.8811,1.0226,0.1258,2.8848,1.8601,0.9898,0.9898
1	Round_1_Replicate_12	-27724.38	55466.76	287197926615.07	866.66	3.1009,0.2316,0.2771,9.8399,2.2718,8.658,14.651,0.99,0.9895
1	Round_1_Replicate_11	-19117.69	38253.38	185099.75	1597.68	0.1034,0.4769,0.2236,0.6978,0.4769,3.914,1.6644,0.9898,0.9898
1	Round_1_Replicate_10	-25138.09	50294.18	477476.97	480.55	0.3084,2.9968,1.9117,11.7712,0.1818,0.4019,0.2692,0.9898,0.9898
1	Round_1_Replicate_11	-5098.22	10214.44	4692.43	388.87	0.1804,3.6139,4.1711,9.7142,1.5605,4.5767,0.134,0.7771,0.3544
1	Round_1_Replicate_12	-24339.36	48696.72	368096.62	131.33	1.8971,9.8528,11.3687,0.0654,0.1471,1.3123,0.0673,0.0991,0.99
1	Round_1_Replicate_9	-30835.5	61689.0	1752118.85	1423.28	0.9846,0.1296,1.0879,1.9126,0.2546,2.6008,0.9347,0.9898,0.9898
1	Round_1_Replicate_14	-11819.06	23656.12	1.5807968109533557e+21	203.58	13.4955,9.0817,0.9035,6.7696,0.0773,0.8843,2.0813,0.8177,0.1059
1	Round_1_Replicate_13	-14756.33	29530.66	131086.05	1584.23	0.1579,0.4482,0.4269,0.0607,0.183,0.5294,2.3823,0.1149,0.6792
1	Round_1_Replicate_13	-26832.04	53682.08	1045176.46	2217.48	0.4889,0.0917,1.258,4.271,4.4258,0.2631,1.5675,0.1039,0.9898
1	Round_1_Replicate_13	-6949.59	13917.18	315412121.26	946.42	1.87,0.4931,0.1313,2.1707,11.8547,6.2996,1.6918,0.8069,0.1332
1	Round_1_Replicate_15	-19935.56	39889.12	1055691.23	833.71	0.273,5.7174,3.2664,1.0843,2.2764,4.0817,8.4524,0.9898,0.9898
1	Round_1_Replicate_11	-11594.6	23207.2	59016.22	1009.55	6.6737,0.4226,0.6206,0.6533,0.3988,11.0898,0.487,0.99,0.4246
1	Round_1_Replicate_12	-31039.76	62097.52	1.9258405858588515e+21	335.67	4.2587,3.8481,1.2308,0.6613,10.2466,0.3311,7.8731,0.1852,0.9898
1	Round_1_Replicate_12	-26752.15	53522.3	185907508.23	224.2	1.4994,8.3723,2.1852,3.2123,0.1659,2.0235,0.9659,0.0889,0.9895
1	Round_1_Replicate_13	-35206.65	70431.3	4.945635706191843e+28	348.2	11.4294,7.9245,0.416,11.5524,6.8994,10.2749,0.3461,0.9898,0.9898
1	Round_1_Replicate_10	-29015.38	58048.76	1304204.21	580.71	3.7037,0.2424,0.6981,0.2545,1.5016,0.2314,6.8408,0.6252,0.9898
1	Round_1_Replicate_14	-12246.84	24511.68	34608.04	1810.01	1.0485,0.1142,0.6958,0.6072,0.4516,5.2461,0.1251,0.9898,0.1415
1	Round_1_Replicate_15	-20295.25	40608.5	250033.81	368.16	5.2722,0.1293,3.0306,0.8117,6.8035,0.3334,1.1498,0.2573,0.8373
1	Round_1_Replicate_14	-10422.05	20862.1	1713379736292.63	278.71	16.1928,6.4772,0.4675,1.8555,13.3437,0.265,0.1227,0.2215,0.0934
1	Round_1_Replicate_14	-7658.33	15334.66	65876423223514.27	269.07	6.6648,3.8272,1.8831,3.4987,0.413,2.8139,0.133,0.9898,0.0666
1	Round_2_Replicate_1	-12005.67	24029.34	9.170112565694203e+20	895.89	4.999,1.5382,0.0412,0.6368,0.0596,0.1819,17.9243,0.9898,0.115
1	Round_1_Replicate_13	-11968.99	23955.98	40878.24	496.12	9.2181,0.1882,0.5559,7.1877,0.6821,1.3682,5.4214,0.9898,0.4618
1	Round_1_Replicate_12	-5284.25	10586.5	981883.97	198.41	1.3433,12.0061,4.2556,0.5879,0.815,1.1437,2.4936,0.2237,0.2831
1	Round_1_Replicate_13	-8304.19	16626.38	16314.91	478.05	2.2329,0.9006,2.1129,0.2101,0.0822,2.0726,0.2537,0.0675,0.117
1	Round_1_Replicate_14	-5216.92	10451.84	141724649.12	336.8	1.0179,8.0707,0.7825,2.4924,0.9329,15.477,3.2122,0.1438,0.0833
1	Round_1_Replicate_11	-11536.21	23090.42	32083.35	1146.43	3.2619,0.3003,0.971,12.4331,0.2039,0.2508,0.2768,0.1857,0.4446
1	Round_2_Replicate_1	-4424.67	8867.34	7367996.5	706.47	0.3392,6.6176,0.138,4.8283,1.7495,18.8388,0.3036,0.1568,0.0506
